Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
D,Valery,3.9,3.9,Southampton,4,0.154,6,0.267,3.83,0.251,3.94,0.33,4,0.119,4.44,0.29500000000000004,5.55,0.326,8,0.272
M,Cundle,4.4,4.4,Wolves,6,0.523,1.1,0.081,1.1,0.083,1.1,0.082,2,0.084,1.1,0.083,2.2,0.17400000000000002,3,0.118
M,Campbell,4.4,4.4,Wolves,1,0.095,0.5,0.047,0.55,0.051000000000000004,0.55,0.05,0,0,0.55,0.051000000000000004,0.55,0.05,1,0.045
D,Marques,4.0,4.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Greenwood,4.5,4.5,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Summerville,4.5,4.5,Leeds,4.5,0.412,2.15,0.199,1.65,0.151,1.1,0.107,2,0.091,1.1,0.106,1.1,0.10300000000000001,2,0.09
M,Forshaw,4.5,4.5,Leeds,36.5,2.547,20.35,1.4600000000000002,18.1,1.318,17.6,1.4749999999999999,29,1.115,17.05,1.367,15.4,1.247,32,1.156
M,Woodburn,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Baptiste,4.0,4.0,West Ham,0,0,0,0,0,0,2,0.064,0.18,0.002,1,0.032,2,0.062,1,0.035
D,Varane,5.5,5.5,Man Utd,89,3.264,85,4.291,83,1.531,82,3.212,15.8,0.326,80,3.366,80,3.087,73,3.805
G,Fernández,4.5,4.5,Brentford,0,0,0,0,0,0,2,0.093,1,0.038,1,0.036,2,0.082,2,0.086
M,Tufan,5.0,5.0,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Ødegaard,5.5,5.5,Arsenal,78.5,8.209,0,0,39.843333333333334,5.5600000000000005,31.316666666666666,4.873,73,3.438,21.24,3.876,20.945,4.178,67,3.288
G,Ramsdale,5.1,5.1,Arsenal,90,8.828,0,0,47.596666666666664,6.166,37.56666666666666,4.88,88,3.761,25.664999999999996,4.408,25.664999999999996,4.712,86,3.682
D,Roberts,3.9,3.9,Brighton,1,0.05,3,0.13,1.11,0.09000000000000001,1.665,0.10500000000000001,0.4,0.003,2.775,0.249,3.33,0.201,4,0.134
G,Matthews,3.9,3.9,Crystal Palace,0,0,1,0.047,0,0,0,0,0,0,0,0,1,0.039,0,0
D,Drameh,3.9,3.9,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Cresswell,4.0,4.0,Leeds,7,0.288,3.9,0.21100000000000002,3.7,0.185,2.15,0.148,2,0.053,1.65,0.095,1.1,0.062,4,0.088
F,Kean,6.0,6.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Dodgson,3.9,3.9,Burnley,0,0,0.3333333333333333,0.027,0,0,0.7399999999999999,0.058,1.5,0.031,0.8133333333333335,0.041,1.626666666666667,0.134,3,0.069
